Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Aqua,2012,2019,8 сая ₮,110,1.5 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2012,2019,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Crown,2019,2024,68 сая ₮,120,1.8 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2019,2024,Хайбрид,Саарал,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Land Cruiser 200,2019,2019,225 сая ₮,98000,4.7 л,Автомат,Зөв,Жийп,Хар,2019,2019,Бензин,Бор,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Mercedes-Benz,E-Class,2019,2024,145 сая ₮,34000,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2019,2024,Бензин,Бор,гүй,Бүх дугуй 4WD,Дугаар аваагүй,4
Mercedes-Benz,E-Class,2017,2024,175 сая ₮,29000,3.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2017,2024,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар аваагүй,2
Subaru,Forester,2008,2017,17 сая ₮,190000,1.9 л,Автомат,Буруу,Жийп,Сувдан цагаан,2008,2017,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2009,2024,25 сая ₮,79000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2009,2024,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,Дугаар аваагүй,2
Mazda,Бусад,2011,2019,5 сая ₮,240,1.8 л,Автомат,Буруу,Гэр бүлийн,Хар,2011,2019,Бензин,Цагаан шар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Camry,2014,2021,5 сая ₮,76000,2.5 л,Автомат,Буруу,Суудлын тэрэг,Улаан,2014,2021,Хайбрид,Бусад,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2013,2023,24 сая ₮,106000,0.5 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Бензин,Хар,Банкны лизингтэй,Урдаа FWD,Дугаар авсан,4
Toyota,RAV4,2019,2019,98 сая ₮,48000,2.5 л,Автомат,Зөв,Жийп,Хөх,2019,2019,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 30,2011,2021,3 сая ₮,220000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2011,2021,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Honda,Insight,2009,2018,5 сая ₮,150,1.3 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2009,2018,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
